IncidentId,TicketStatus,ClosedDate,IsSynthetic,Provenance
603081913,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
603961530,InProgress,,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
613636224,Fulfilled,2025-09-12,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
618092636,Fulfilled,2025-11-01,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
618393554,Rejected,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
621141184,Fulfilled,2025-10-04,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
624403309,Fulfilled,2026-01-04,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
628732250,Fulfilled,2025-11-13,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
629331682,Fulfilled,2025-09-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
630029263,Fulfilled,2025-11-01,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
632481817,Fulfilled,2025-09-07,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
637481729,Fulfilled,2026-01-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
642734345,InProgress,,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
643662126,Fulfilled,2025-09-19,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
644325930,Fulfilled,2025-12-06,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
651842883,Fulfilled,2025-11-11,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
653572423,Fulfilled,2025-10-28,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
657076502,Fulfilled,2025-10-07,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
657377352,Fulfilled,2025-09-15,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
658438638,Fulfilled,2025-12-11,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
661770953,Fulfilled,2025-12-07,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
666092929,Fulfilled,2025-11-17,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
668376552,Fulfilled,2026-01-09,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
670119420,Fulfilled,2025-09-29,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
676500721,Fulfilled,2025-12-09,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
676571007,Fulfilled,2025-10-19,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
677681988,Fulfilled,2025-11-01,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
678785840,Fulfilled,2025-12-23,True,"SYNTHETIC - generated, not a business source: status inferred from dates and how long a denial stayed open"
